Mã khách hàng,Tên khách hàng,Channel,Customer Group,Customer Group 1,Customer Group 2,Sale Group
HAEDURI,CÔNG TY TNHH HH F&B,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHILINH,CHỊ LINH - BẾN LỨC,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
BAOZI,CÔNG TY TNHH BAOZI,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHTOANPQ,ANH TOÀN - PHÚ QUỐC,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHỊ CHICKEN,CHỊ CHICKEN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
DNF,CÔNG TY TNHH CHẾ BIẾN THỰC PHẨM ĐỒNG NAI,Internal,Internal,Internal,Internal,Internal cong ty
DON CHICKEN,CÔNG TY TNHH CÔNG NGHỆ THỰC PHẨM VIỆT HÀN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HOANGDUCANH,CÔNG TY TNHH THƯƠNG MẠI VÀ VẬN TẢI HOÀNG ĐỨC ANH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
COOPMARTPHAMNGUTANG11,CÔNG TY TNHH MỘT THÀNH VIÊN CO.OP FINELIFE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTPHAMNHUTANG11,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM SAIGON CO.OP,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
GOCMIENDONG,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
NHAHANGTRIEUINSTITUTE,CÔNG TY CỔ PHẦN TRIỆU HOSPITALITY,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
COOPMARTDONGVANCONG,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART ĐỒNG VĂN CỐNG,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTTENLUA,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM SAIGON CO.OP,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
CHIKITCHEN,CÔNG TY TNHH CHỊ KITCHEN,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
00273,Nguyễn Thị Ánh Tiên,Others,Other,Other,Other,Other
NGOCTRUONG,CÔNG TY TNHH THỰC PHẨM NGỌC TRƯỜNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
LOCVANXUAN,CÔNG TY CỔ PHẦN LỘC VẠN XUÂN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
THISORETAIL-DELICA-SALA,CÔNG TY TNHH THISO RETAIL,Modern Trade,Modern Trade,SUPERMARKET,E-MART,MT
SASCO,SASCO - TRUNG TÂM THƯƠNG MẠI SASCO TÂN SƠN NHẤT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
THANHLAN,CHỊ THANH LAN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
THISORETAIL-MEAT-SALA,CÔNG TY TNHH THISO RETAIL,Modern Trade,Modern Trade,SUPERMARKET,E-MART,MT
KHPHONGMAI,PHONG MAI,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHITHUY,CHỊ THÚY,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
GOPHUTHANH,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
MINHBC,ANH MINH BÌNH CHÁNH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
COOPMARTTAYBAC,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM SAIGON CO.OP,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
BRUNCHBASAKCHICKEN,NHÀ HÀNG BRUNCHBASAKCHICKEN,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
ANHPHONG,PHONG MAI QUẬN 9,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
BASAKCHICKEN,NHÀ HÀNG THE BRUNCH BASAK CHICKEN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHANGKANG,CÔNG TY CỔ PHẦN ĐẦU TƯ VIÊN NGỌC MỚI,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
COOPMARTHOABINH,CÔNG TY TNHH MỘT THÀNH VIÊN CO.OP MART HÒA BÌNH,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTHUNGVUONG,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ AN ĐÔNG,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTCHUVANAN,CHI NHÁNH LIÊN HIỆP HTX THƯƠNG MẠI TP.HCM - CO.OPMART CHU VĂN AN,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTTUYLYVUONG,CÔNG TY TNHH  MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ BÌNH ĐÔNG,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
KHANGMAI,CÔNG TY TNHH THỰC PHẨM KHANG MAI,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
COOPMARTBINHDUONG,CÔNG TY TNHH MỘT THÀNH VIÊN CO.OP FINELIFE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPFOODTAYBAC,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM SAIGON CO.OP,Modern Trade,Modern Trade,MINI MART,CO.OP FOOD,MT
BONCHONGIGAMALLPVĐ,CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN BC CONCEPT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
THISORETAIL-DELICA-GV,CÔNG TY TNHH THISO RETAIL,Modern Trade,Modern Trade,SUPERMARKET,E-MART,MT
THISORETAIL-MEAT-GV,CÔNG TY TNHH THISO RETAIL,Modern Trade,Modern Trade,SUPERMARKET,E-MART,MT
BONCHONPHANXICHLONG,CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN BC CONCEPT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
DONCHICKEN,CÔNG TY TNHH CÔNG NGHỆ THỰC PHẨM VIỆT HÀN,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
SANGTANBINH,ANH SANG - TÂN BÌNH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
LOTTERIA,CÔNG TY TNHH LOTTERIA VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
COOPFOOD,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM SAIGON CO.OP,Modern Trade,Modern Trade,MINI MART,CO.OP FOOD,MT
ANHTHIET,ANH THIỆT - BẾN LỨC,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
1101783983,CÔNG TY TNHH  LEBOUCHER,Internal,Internal,Internal,Internal,Internal cong ty
MINHKHANGPHAT,CÔNG TY TNHH THU MUA PHẾ LIỆU MINH KHANG PHÁT,Others,Other,Other,Other,Other
BONCHONHCM,CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN BC CONCEPT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
OHCHICKEN,CÔNG TY TNHH OH CHICKEN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHHA,ANH HÀ - BẾN LỨC,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHIPHUONG,CHỊ PHƯƠNG - BÌNH CHÁNH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
TRANHIEU,TRẦN HIẾU,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
PHANDUY,CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ PHAN DUY,Others,Other,Other,Other,Other
SWIRE,CÔNG TY TNHH EMERGENTCOLD VIỆT NAM,Others,Other,Other,Other,Other
FATDADDYBIENHOA,CÔNG TY TNHH L&Y FOOD ENTERPRISE,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
NGUYENKHANG,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ NGUYÊN KHANG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HKDWOWCHICKEN,HỘ KINH DOANH WOW CHICKEN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
