Mã khách hàng,Tên khách hàng,Channel,Customer Group,Customer Group 1,Customer Group 2,Sale Group
POPEYESLUYBANBICH,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYESNGUYENANHTHU,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYESNGUYENBINHKHIEM,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYESNGUYENTHITHAP,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYESNGUYENVANLUONG,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYESNGUYENVANQUA,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYES-SBND,CÔNG TY TNHH AUTOGRILL VFS F&B,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
POPEYESSBQT,POPEYES SÂN BAY QUỐC TẾ,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYES-SBQT,CÔNG TY TNHH AUTOGRILL VFS F&B,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
POPEYESTENLUA,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYESTUNGTHIENVUONG,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYESTHAODIEN,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYESTHONGNHAT,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYESVINMARTCONGHOA,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYESVOTHISAU,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
POPEYESVOVANNGAN,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
PUROGUSTOE1,CÔNG TY TNHH AUTOGRILL VFS F&B,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
PHO24,CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ PHỞ HAI MƯƠI BỐN,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
PHONGMAI,CÔNG TY TNHH THỰC PHẨM PHONG MAI,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
PHUCLOCTHO,CÔNG TY CỔ PHẦN THỰC PHẨM PHÚC LỘC THỌ,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
PHUCTHINH,CƠ SỞ SẢN XUẤT PHÚC THỊNH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
PHUCVANTHONG,CÔNG TY TNHH PHÚC VẬN THÔNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
PHUOCCUU,TRẦN PHƯỚC CỬU,Horeca,Horeca,Horeca,Trader,Horeca LBC
PHUONG,CHỊ PHƯỢNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
PHUONGDN,CHỊ PHƯƠNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
PHUSON,PHÚ SƠN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
QSR,QSR,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
QUAN,ANH QUÂN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
QUANNGON,CÔNG TY TNHH XD-TM-DV-XNK THƯƠNG GIA,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
QUANGDUC,CÔNG TY TNHH QUANG ĐỨC,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
QUYENSW,ANH QUYỀN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
RNH,CÔNG TY TNHH RNH VIỆT NAM,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
SACNCKA,Suất ăn Công Nghiệp Cơm Kim Oanh,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
SAGRIFOOD,CN TCT NÔNG NGHIỆP SG TNHH MTV - CÔNG TY CHĂN NUÔI & CBTP SÀI GÒN,Gia Cong,Gia Cong,Gia Cong,Gia Cong,Gia Cong
SAIGONBAR,SASCO - TRUNG TÂM THƯƠNG MẠI SASCO TÂN SƠN NHẤT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
SAIGONMARKET,CÔNG TY TNHH AUTOGRILL VFS F&B,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
SANMIGUEL,CÔNG TY TNHH SAN MIGUEL PURE FOOD (VN),Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
SASCO-FINBAR,SASCO - TRUNG TÂM THƯƠNG MẠI SASCO TÂN SƠN NHẤT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
SASCO-FOODCOURT,SASCO - TRUNG TÂM THƯƠNG MẠI SASCO TÂN SƠN NHẤT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
SONKHACHLE,BÙI ĐỨC THANH SƠN,Internal,Internal,Seasonal,Small Account,Internal Daily
SOS,CÔNG TY TNHH SOS GOURMET,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
STARCAFE2C,CÔNG TY TNHH AUTOGRILL VFS F&B,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
STARCAFEE2,CÔNG TY TNHH AUTOGRILL VFS F&B,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
TAIPHUOCLA,CÔNG TY TNHH TÀI PHƯỚC LONG AN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
TANVINHPHAT,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI THỰC PHẨM TÂN VĨNH PHÁT,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
TANHHM,TUẤN ANH HÓC MÔN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
TANHUNG,CÔNG TY TNHH VẬN TẢI VÀ THƯƠNG MẠI TẤN HƯNG,Others,Other,Other,Other,Other
TAZODA,TAZODA HÓC MÔN,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
TIEUDUNGXANH,CÔNG TY TNHH THỰC PHẨM TIÊU DÙNG XANH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
TND,CÔNG TY TNHH XUẤT NHẬP KHẨU THỰC PHẨM TND,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
TOPSANPHU,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
TOPSAUCO,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
TOPSMARKETMOONLIGHT,CÔNG TY TNHH EB TÂN PHÚ,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
TOPSTHAODIEN,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
TUANANHBT,TUẤN ANH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
TUANPHAM,TUẤN PHẠM,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
TUVSUD,CÔNG TY TNHH TUV SUD VIỆT NAM,Others,Other,Other,Other,Other
THADICOCP-DELICA,CÔNG TY TNHH ĐẦU TƯ KINH DOANH BẤT ĐỘNG SẢN THƯƠNG MẠI THADICO,Modern Trade,Modern Trade,SUPERMARKET,E-MART,MT
THADICOCP-MEAT,CÔNG TY TNHH ĐẦU TƯ KINH DOANH BẤT ĐỘNG SẢN THƯƠNG MẠI THADICO,Modern Trade,Modern Trade,SUPERMARKET,E-MART,MT
