"MATERIAL","LANGU","TXTMD"
"000000000030000322","E","Thùng carton lạp xưởng khô 500g"
"000000000030000323","E","Thùng carton lạp xưởng MQL 200g"
"000000000030000324","E","Thùng carton lạp xưởng vị tiêu 200g"
"000000000030000325","E","Thùng carton lạp xưởng vị tiêu 500g"
"000000000030000326","E","Thùng carton lạp xưởng Wyn vị gt 12x500g"
"000000000030000327","E","Thùng carton lạp xưởng Wyn vị gt 24x200g"
"000000000030000328","E","(Do not use) Thùng carton lon da cá trứn"
"000000000030000329","E","Thùng carton MMC 10 trứng vịt x 12 khay"
"000000000030000330","E","Thùng carton MMC 6 trứng vịt x 24 khay"
"000000000030000331","E","Thùng carton óc heo L305xW285xH220mm"
"000000000030000332","E","(Do not use) Thùng carton Pate 40 lon x"
"000000000030000333","E","Thùng carton phá lấu 150gr"
"000000000030000334","E","Thùng carton thau XXTT Wyn"
"000000000030000335","E","Thùng carton thau XXTT Wyn 35g"
"000000000030000336","E","Thùng carton thịt viên cá que cá lắc"
"000000000030000337","E","Thùng carton thủy sản đông lạnh"
"000000000030000338","E","Thùng carton trứng gà ác G khay 10 x 12"
"000000000030000339","E","Thùng carton trứng gà ác G khay 6 x 24"
"000000000030000340","E","Thùng carton trứng gà MMC khay 10 x 12"
"000000000030000341","E","Thùng carton trứng gà MMC khay 6 x 24"
"000000000030000342","E","Thùng carton trứng gà Wyn khay 10 x 12"
"000000000030000343","E","Thùng carton trứng gà Wyn khay 6 x 24"
"000000000030000344","E","Thùng carton túi da cá 25g"
"000000000030000345","E","Thùng carton túi da cá 50g x 24 túi 2DC"
"000000000030000346","E","(Do not use) Thùng carton túi da cá 50g"
"000000000030000347","E","Thùng carton túi khô gà 22g x 48 túi"
"000000000030000348","E","Thùng carton túi thịt heo sấy"
"000000000030000349","E","Thùng carton túi XXTT G 30g x 20 gói"
"000000000030000350","E","Thùng carton vận chuyển hàng mát 15kg"
"000000000030000351","E","Thùng carton vận chuyển hàng mát 5kg"
"000000000030000352","E","Thùng carton XXTT Wyn 35g 5cây x 20 túi"
"000000000030000353","E","Thùng carton XXTT Wyn 5 cây x 40 gói"
"000000000030000354","E","Thùng gia vị tiêu"
"000000000030000355","E","(Do not use) Thùng hộp quà tết 2022 - Ma"
"000000000030000356","E","(Do not use) Thùng hộp quà tết 2022 - Ma"
"000000000030000357","E","(Do not use) Thùng hộp quà tết 2022 - Ma"
"000000000030000358","E","Thùng hộp quà tết 2022 - Premium 01"
"000000000030000359","E","Thùng hộp quà tết 2022 - Premium 02"
"000000000030000360","E","Thùng hộp quà tết 2022 - Supper Premium"
"000000000030000361","E","Thùng hộp quà tết 2022 - UM 01"
"000000000030000362","E","Thùng hộp quà tết 2022 - UM 02"
"000000000030000363","E","(Do not use) Thùng hộp quà tết 2022 - UM"
"000000000030000364","E","(Do not use) Thùng HQ tết 2022 Premium"
"000000000030000365","E","(Do not use) Thùng hủ khô gà lá chanh 12"
"000000000030000366","E","(Do not use) Thùng hủ khô heo bò tỏi 120"
"000000000030000367","E","(Do not use) Thùng hủ khô heo cay TX 120"
"000000000030000368","E","(Do not use) Thùng hủ khô heo cháy tỏi 1"
"000000000030000369","E","(Do not use) Thùng hủ khô heo sả thái 12"
"000000000030000370","E","(Do not use) Thùng Khô bò miếng 100gr"
"000000000030000371","E","(Do not use) Thùng lạp xưởng MQL 250gr"
"000000000030000372","E","(Do not use) Thùng lạp xưởng TT 250gr"
"000000000030000373","E","(Do not use) Thùng lạp xưởng vị gia truy"
"000000000030000374","E","Thùng lon da cá 90gr tết 2022"
"000000000030000375","E","(Do not use) Thùng thịt heo sấy BBQ 100g"
"000000000030000376","E","(Do not use) Thùng thịt heo sấy cay TX 1"
"000000000030000377","E","Thùng xốp Phương Nam. KT: 390x290x335mm"
"000000000030000378","E","Thùng xốp trắng 42B L500 x W370 x H340mm"
"000000000030000379","E","Thùng xốp trắng D62 L380 x W270 x H280mm"
"000000000030000380","E","Thùng xốp trắng L605 x W455x H380mm"
"000000000030000381","E","(Do not use) Thùng xúc xích Wyn VerDNF"
"000000000030000382","E","(Do not use) Thùng xúc xích xông khói Wy"
"000000000030000383","E","Thùng xúc xích xông khói Wyn VerMV"
"000000000030000384","E","(Do not use) Tô canh giấy C12, D97.9xH75"
"000000000030000385","E","Túi bò Canada 500g L370xW220mm"
"000000000030000386","E","(Do not use) Túi chả bò G 1 cây x 50gr L"
"000000000030000387","E","(Do not use) Túi chả bò G 4 cây x 50gr L"
"000000000030000388","E","(Do not use) Túi chả lụa bì 1 cây x 50g"
"000000000030000389","E","Túi chả lụa bì 1 cây x 50g Ver1DC"
"000000000030000390","E","Túi chả lụa bì 4 cây x 50gr L185xW126mm"
"000000000030000391","E","Túi chả lụa bì 4 cây x 50gr Ver1DCLG"
"000000000030000392","E","(Do not use) Túi chả lụa bì ớt xiêm 1 câ"
"000000000030000393","E","Túi chả lụa bì ớt xiêm 1 cây x 50g"
"000000000030000394","E","Túi chả lụa bì ớt xiêm 1 cây 50g V1DCLG"
"000000000030000395","E","Túi chả lụa bì ớt xiêm 4 cây Ver1DCLG"
"000000000030000396","E","Túi chả lụa bì ớt xiêm 4 cây x 50g"
"000000000030000397","E","Túi chả lụa que mini phô mai 1 cây"
"000000000030000398","E","Túi chả lụa que mini phô mai 4 cây"
"000000000030000399","E","Túi chả lụa que mini sữa bắp 1 cây"
"000000000030000400","E","Túi chả lụa que mini sữa bắp 4 cây"
"000000000030000401","E","Túi chả lụa que Wyn 4 cây x 45gr"
"000000000030000402","E","Túi chả lụa Wyn 1 cây x 45gr"
"000000000030000403","E","Túi đen 10kg đựng hàng hủy"
"000000000030000404","E","Túi đựng hộp quà tết 2022 - UM 01"
"000000000030000405","E","(Do not use) Túi đựng hộp quà tết 2022 -"
"000000000030000406","E","(Do not use) Túi đựng hộp quà tết 2022-M"
"000000000030000407","E","(Do not use) Túi đựng hộp quà tết 2022-M"
"000000000030000408","E","(Do not use) Túi đựng hộp quà tết 2022-M"
"000000000030000409","E","(Do not use) Túi đựng hộp quà tết 2022-S"
"000000000030000410","E","Túi đựng HQ tết 2022 – UM 02"
"000000000030000411","E","Túi đựng rác 90x120cm màu đen không quai"
"000000000030000412","E","Túi giấy hộp quà tết 2022 - UM 02"
"000000000030000413","E","Túi giấy hộp quà trung thu mainstream"
"000000000030000414","E","Túi giấy hộp quà trung thu premium"
"000000000030000415","E","(Do not use) Túi HDPE cơm tấm L399 x W22"
"000000000030000416","E","(Do not use) Túi HDPE MS Mamachoice 2kg"
"000000000030000417","E","(Do not use) Túi HDPE MS Mamachoice 5kg"
"000000000030000418","E","(Do not use) Túi HDPE trắng không in L42"
"000000000030000419","E","(Do not use) Túi HDPE trắng không in L60"
"000000000030000420","E","(Do not use) Túi HDPE tự hủy MMC 1kg"
"000000000030000421","E","(Do not use) Túi HDPE tự hủy MMC 2kg"
"000000000030000422","E","(Do not use) Túi lưới dây rút"
"000000000030000423","E","Túi MPET thịt heo sấy vị BBQ 25g V3DCLG"
"000000000030000424","E","Túi MPET thịt heo sấy vị cay Tứ Xuyên25g"
"000000000030000425","E","(Do not use) Túi MPH da cá trứng muối 25"
"000000000030000426","E","Túi MPH da cá trứng muối 50g Ver1DC"
"000000000030000427","E","Túi MPH khô gà lá chanh 22g L200xW100mm"
"000000000030000428","E","(Do not use) Túi MPH khô gà lá chanh 22g"
"000000000030000429","E","Túi MPH khô heo bơ tỏi 25g V1DC"
"000000000030000430","E","Túi MPH khô heo cháy tói 25g"
"000000000030000431","E","(Do not use) Túi MPH khô heo cháy tỏi 25"
"000000000030000432","E","Túi MPH khô heo sả thái 25g V1DC"
"000000000030000433","E","Túi MPH khô heo Tứ Xuyên 25g Ver1DC"
"000000000030000434","E","Túi OPP lạp xưởng vị tiêu 200g Ver2DC"
"000000000030000435","E","(Do not use) Túi OPP lạp xưởng vị tiêu 5"
"000000000030000436","E","Túi OPPmatt//LLDPE L280 x W200mm"
"000000000030000437","E","Túi OPPmatt//LLDPE L320 x W230mm"
"000000000030000438","E","(Do not use) Túi OPPm MMC L280 x W200mm"
"000000000030000439","E","(Do not use) Túi OPPm MMC L320 x W230mm"
"000000000030000440","E","Túi PA Bò Mỹ 300g L300xW200mm"
"000000000030000441","E","Túi PA Bò Mỹ 300g L300xW200mm Ver1DC"
"000000000030000442","E","(Do not use) Túi PA Bò Mỹ 500g L370xW200"
"000000000030000443","E","Túi PA Bò Mỹ 500g L370xW200mm Ver1DC"
"000000000030000444","E","Túi PA bò Úc 300g L300xW200mm"
"000000000030000445","E","Túi PA bò Úc 500g L370xW200mm"
"000000000030000446","E","Túi PA burger heo, bò L240xW120mm"
"000000000030000447","E","Túi PA cá que giòn nhân mayonaise 300g"
"000000000030000448","E","Túi PA cá que giòn nhân phô mai 300g"
"000000000030000449","E","Túi PA chả giò G combo nhân xốt 3vị 300g"
"000000000030000450","E","Túi PA chả giò G nhân xốt 3 vị 300g"
"000000000030000451","E","Túi PA chả giò G nhân xốt Hongkong 300g"
"000000000030000452","E","Túi PA chả giò G nhân xốt phô mai 300g"
"000000000030000453","E","Túi PA chả giò G nhân xốt Tứ Xuyên 300g"
"000000000030000454","E","Túi PA chả giò G nhân xốt vị HK 300g"
"000000000030000455","E","(Do not use) Túi PA chả giò hải sản G nx"
"000000000030000456","E","(Do not use) Túi PA chả giò hải sản Wyn"
"000000000030000457","E","Túi PA chả giò hải sản Wyn 160g Ver1"
"000000000030000458","E","(Do not use) Túi PA chả giò hải sản Wyn"
"000000000030000459","E","Túi PA chả giò hải sản Wyn 400g Ver1"
"000000000030000460","E","(Do not use) Túi PA chả giò hạt sen 400g"
"000000000030000461","E","(Do not use) Túi PA chả giò hạt sen 400g"
"000000000030000462","E","Túi PA chả giò nấm tam vị 400g"
"000000000030000463","E","(Do not use) Túi PA chả giò thịt đặc biệ"
"000000000030000464","E","Túi PA chả giò thịt đặc biệt 400g 1DCLG"
"000000000030000465","E","Túi PA chả giò thịt G nx Tứ Xuyên 300g"
"000000000030000466","E","Túi PA chả giò thịt Wyn 160g"
"000000000030000467","E","Túi PA chả giò thịt Wyn 160g Ver1"
"000000000030000468","E","(Do not use) Túi PA chả giò thịt Wyn 400"
"000000000030000469","E","(Do not use) Túi PA chả giò thịt Wyn 400"
"000000000030000470","E","Túi PA Jambon xông khói 200g Ver2DCLG"
"000000000030000471","E","Túi PA không in L200 x W230mm"
"000000000030000472","E","(Do not use) Túi PA không in L300xW210mm"
"000000000030000473","E","Túi PA không in L310 x W220 x 100mic"
"000000000030000474","E","Túi PA không in L340xW260mm"
"000000000030000475","E","(Do not use) Túi PA KSGM L400xW300mm"
"000000000030000476","E","Túi PA lạp xưởng khô 200g Ver2DC"
"000000000030000477","E","Túi PA lạp xưởng khô 500g"
"000000000030000478","E","(Do not use) Túi PA lạp xưởng khô L260 x"
"000000000030000479","E","Túi PA lạp xưởng Wyn gia truyền 200g"
"000000000030000480","E","Túi PA lạp xưởng Wyn gia truyền 500g"
"000000000030000481","E","Túi PA nugget cá lắc sữa bắp 300g V1"
"000000000030000482","E","Túi PA nugget cá lắc vị phô mai 300g"
"000000000030000483","E","Túi PA thịt đông lạnh Wyn L300xW200mm"
"000000000030000484","E","Túi PA thịt viên nấm 300g"
"000000000030000485","E","Túi PA thịt viên rau củ 300g"
"000000000030000486","E","(Do not use) Túi PA thịt viên rong biển"
"000000000030000487","E","Túi PA thịt Wyn đông lạnh 1.1kg"
"000000000030000488","E","Túi PA thủy sản L400xW195mm"
"000000000030000489","E","Túi PA trắng không in L230xW190mm"
"000000000030000490","E","Túi PA xông khói Wyn 200g VerMV"
"000000000030000491","E","Túi PA xông khói Wyn 500g VerMV"
"000000000030000492","E","Túi PA xúc xích cocktail 200g ver3"
"000000000030000493","E","Túi PA xúc xích Phomai Cheddar 200g"
"000000000030000494","E","(Do not use) Túi PA xúc xích toi 200g L2"
"000000000030000495","E","Túi PA xúc xích tỏi 200g L255xW200mm"
"000000000030000497","E","Túi PA xúc xích vườn bia G 200g Ver2DLG"
"000000000030000498","E","Túi PA xúc xích xông khói 200g"
"000000000030000499","E","Túi PA xúc xích xông khói 500g"
"000000000030000500","E","Túi PA xúc xích xông khói gỗ sồi 200g"
"000000000030000501","E","(Do not use) Túi PA XX xông khói Wyn 200"
"000000000030000502","E","(Do not use) Túi PA XX xông khói Wyn 500"
"000000000030000503","E","Túi PA zipper thịt Wyn đông lạnh 600g"
"000000000030000504","E","Túi PAPE trơn 100mic 160x220"
"000000000030000505","E","Túi PE 10kg 40x60cm"
"000000000030000506","E","Túi PE 20x30cm x 40 mic"
"000000000030000507","E","Túi PE 30x40cm x 40 mic"
"000000000030000508","E","Túi PE 35x50 L500mmx W350mm x 40mic"
"000000000030000509","E","Túi PE 50x70cm x 60mic"
"000000000030000510","E","(Do not use) Túi PE combo da cá KM L365x"
"000000000030000511","E","Túi PE D100cm x R60cm x 60mic"
"000000000030000512","E","Túi PE D35cm x R25cm x 40mic"
"000000000030000513","E","Túi PE không in L300 x W200mm 60mic"
"000000000030000514","E","Túi PE không in L400 x W300mm 60 mic"
"000000000030000515","E","(Do not use) Túi PE không in L700xW500x6"
"000000000030000516","E","Túi PE L150xW120mm x 40 mic"
"000000000030000517","E","(Do not use) Túi PE L160xW90x 60 mic"
"000000000030000518","E","Tui PE L220 x W200mm - 60 mic - 206c/kg"
"000000000030000519","E","Túi PE L280xW180x 80 mic"
"000000000030000520","E","Túi PE L350 x W250 x 40 mic"
"000000000030000521","E","(Do not use) Túi PE L500xW350x40 mic"
"000000000030000522","E","(Do not use) Túi PE quai xách trắng tron"
"000000000030000523","E","(Do not use) Túi PE quai xách trắng tron"
"000000000030000524","E","(Do not use) Túi PE quai xách trắng tron"
"000000000030000525","E","Túi PE tự hủy in logo G 2kg"
"000000000030000526","E","Túi PE tự hủy in logo G 5kg"
"000000000030000527","E","Túi PET chả giò Wyn combo L405xW265mm"
"000000000030000528","E","(Do not use) Túi PET Khô bò miếng 100gr"
"000000000030000529","E","Túi PET lạp xưởng vị tiêu tt 200g"
"000000000030000530","E","Túi PET lạp xưởng vị tiêu tt 500g"
"000000000030000531","E","Túi PET lạp xưởng Wyn gia truyền 200g"
"000000000030000532","E","Túi PET lạp xưởng Wyn gia truyền 500g"
"000000000030000533","E","(Do not use) Túi PET thịt heo sấy BBQ 10"
"000000000030000534","E","(Do not use) Túi PET thịt heo sấy cay TX"
"000000000030000535","E","Túi PET/MPET/PE không in tết 2022"
"000000000030000536","E","(Do not use) Túi retort bao tử cá cà ri"
"000000000030000537","E","Túi retort bao tử cá hầm tiêu xanh 150g"
"000000000030000538","E","(Do not use) Túi retort bao tử cá xào sa"
"000000000030000539","E","(Do not use) Túi retort phá lấu vị truyề"
"000000000030000540","E","Túi retort phá lấu vị truyền thống Ver1"
"000000000030000541","E","(Do not use) Túi retort phá lấu vị tương"
"000000000030000542","E","Túi retort phá lấu vị tương đen Ver1DC"
"000000000030000543","E","Túi thịt heo sấy BBQ 25g Ver2DCLG"
"000000000030000544","E","Túi thịt heo sấy TB vị cay Tứ xuyên 25g"
"000000000030000545","E","Túi vải hộp quà tết 2022 premium 01"
"000000000030000546","E","Túi vải hộp quà tết 2022 premium 02"
"000000000030000547","E","(Do not use) Túi xốp đen 1.2x1.5m cho th"
"000000000030000548","E","Túi xúc xích xông khói gỗ sồi G 500gr"
"000000000030000549","E","Túi XX PA phô mai 200gr 170x170mm"
"000000000030000550","E","Túi XX PA phô mai 500gr 250x200mm"
"000000000030000551","E","Túi XX PA trứng muối 200gr 170x170mm"
"000000000030000552","E","Túi XX PA trứng muối 500gr 250x200mm"
"000000000030000553","E","Vách ngăn hộp giấy trừng gà ác G P10"
"000000000030000554","E","Vách ngăn hộp giấy trứng gà ác G P6"
"000000000030000555","E","Vách ngăn hộp quà mainstream 2"
"000000000030000556","E","Vách ngăn hộp quà mainstream 3 tết 2022"
"000000000030000557","E","(Do not use) Vách ngăn hộp quà premium 2"
"000000000030000558","E","(Do not use) Vách ngăn hộp quà UM 1"
"000000000030000559","E","Vách ngăn thùng phá lấu L600xW185mm"
"000000000030000560","E","Bao lì xì G 1"
"000000000030000561","E","Bao lì xì Mainstream 1"
"000000000030000562","E","Bao lì xì Mainstream 2"
"000000000030000563","E","Bao lì xì Mainstream 3"
"000000000030000564","E","Hủ nhựa XXTT WYN 3.3kg nắp vàng, đục lỗ"
"000000000030000565","E","Tạp dề - Hộp quà Tết 2022"
"000000000030000566","E","Thau nhựa 2T4"
"000000000030000567","E","(Do not use) Decal giấy khô heo sả thái"
"000000000030000568","E","(Do not use) Decal giấy trứng gà Wyn siz"
"000000000030000569","E","Decal giấy trứng gà Wyn size XL 23x25mm"
"000000000030000570","E","(Do not use) Decal XX trứng muối Wyn 500"
"000000000030000571","E","(Do not use) Decal XX xông khói Wyn 500g"
"000000000030000572","E","Hộp Quà Tết 2022 Coop Thịt tươi"
"000000000030000573","E","Khay Hộp Quà Tết 2022 Thịt tươi"
"000000000030000574","E","(Do not use) Nhãn decal giò sống 3kg.Ver"
"000000000030000575","E","Nhãn giấy trứng gà CN Wyn P6-L V1"
"000000000030000576","E","Nhãn giấy trứng gà CN Wyn P10-L V1"
"000000000030000577","E","(Do not use) Nhãn giấy trứng gà CN Wyn P"
"000000000030000578","E","Nhãn giấy trứng gà CN Wyn P10-XL V1"
"000000000030000579","E","(Do not use) Nhãn phụ dầu Olive HQT 2022"
"000000000030000580","E","Tay cầm HQT 2022 SP L445 x W320 x H530mm"
"000000000030000581","E","Thùng hộp quà thịt tươi L375xW275xH300mm"
"000000000030000582","E","Thùng xúc xích xông khói Wyn.VerMV01"
"000000000030000583","E","(Do not use) Túi PA thịt viên dd rau củ"
"000000000030000584","E","Túi PA XX xông khói Wyn 200g.VerMV01"
"000000000030000585","E","Túi PA XX xông khói Wyn 500g.VerMV01"
"000000000030000586","E","Vĩ nhựa đựng trứng 30 quả màu xanh lá"
"000000000030000587","E","Bộ cờ vây cách điệu - Hộp quà Tết 2022"
"000000000030000588","E","Tag rượu HQT Premium 1"
"000000000030000589","E","Tag rượu HQT Premium 2"
"000000000030000590","E","Tag rượu HQT Upper Mainstream 1"
"000000000030000591","E","Tag rượu HQT Super Premium"
"000000000030000592","E","Nhãn thủy sản cá bạc má"
"000000000030000593","E","(Do not use) Nắp hũ nhựa XXTT 35gr màu v"
"000000000030000594","E","Túi MPH khô heo tomyum 25gr L180xW140mm"
"000000000030000595","E","Túi MPH khô heo phô mai wasabi 25gr"
"000000000030000596","E","Decal giấy khô heo phô mai wasabi 180g"
"000000000030000597","E","Băng keo văn phòng phẩm L25 yard x W18mm"
"000000000030000598","E","Băng keo in logo G W48mm x 1000Y D76mm"
"000000000030000599","E","(Do not use) Băng keo nhỏ xanh G"
"000000000030000600","E","Băng keo sọc vàng đen 5cmx33m"
"000000000030000601","E","Bộ Decal Bừng Lộc D1"
"000000000030000602","E","Bộ Decal Bừng Lộc D2"
"000000000030000603","E","Bộ Decal Bừng Lộc D3"
"000000000030000604","E","Bộ Decal Đủ Đầy B2"
"000000000030000605","E","Bộ Decal Đủ Đầy B3"
"000000000030000606","E","Bộ Decal Tròn Đầy C1"
"000000000030000607","E","Bộ Decal Tròn Đầy C2"
"000000000030000608","E","Chỉ may bao (Sợi PE 20)"
"000000000030000609","E","Cover khay 6 trứng gà ác G L170xW92mm"
"000000000030000610","E","Cuộn màng film elixa 1000m, khô 280mm"
"000000000030000611","E","Dây dai không in màu trắng 12mm x 0.7mm"
"000000000030000612","E","Decal giấy lạp xưởng Tây Bắc D20mm"
"000000000030000613","E","Decal PP chả lụa 500g L255 x W65mm"
"000000000030000614","E","Decal PP chả lụa bì ớt xiêm 200g"
"000000000030000615","E","Decal PP chả lụa bì ớt xiêm 500g"
"000000000030000616","E","Decal PP chả lụa bì trứng muối 200g"
"000000000030000617","E","Decal PP chả lụa bì trứng muối 500g"
"000000000030000618","E","Decal PP Chả Lụa OEM (Lotte) 500g"
"000000000030000619","E","Decal PP chả lụa sụn gà nấm 500g"
"000000000030000620","E","Decal PP giò thủ 500g L255 x W65mm"
"000000000030000621","E","Decal PP Nạc Nọng dung lanh L40 x W30"
"000000000030000622","E","Decal PP Sườn Già dung lanh L40 x W30"
"000000000030000623","E","Decal PP sườn non cọng dung lanh"
"000000000030000624","E","Decal PP Thăn Nội dung lanh L40 x W30"
"000000000030000625","E","Túi G loại ép miệng 1kg (đen)"
"000000000030000626","E","Giỏ tre quà tặng L360 x W260 x H210"
"000000000030000627","E","Hộp giấy lạp xưởng kieu Tây Bắc 500gr"
"000000000030000628","E","Hộp giấy lạp xưởng mai quế lộ 500gr"
"000000000030000629","E","Hộp giấy lạp xưởng mai quế lộ 500gr Ver2"
"000000000030000630","E","Hộp giấy quà khô heo 3 vị + lxMQL 500gr"
"000000000030000631","E","Hộp giấy quà khô heo 3 vị +2 lxMQL 500g"
"000000000030000632","E","Hộp quà Bừng Lộc D L350xW270xH90mm"
"000000000030000633","E","Hộp quà Đủ Đầy B L280xW250xH90mm"
"000000000030000634","E","Hộp quà internal đại lý 7 SP. Ver1"
"000000000030000635","E","Hộp quà khô heo cháy tỏi + LX MQL 500G"
"000000000030000636","E","Hộp quà Rộn Rã A L240xW193xH90mm"
"000000000030000637","E","Hộp quà tặng hàng chill. Ver 1-2020"
"000000000030000638","E","Hộp quà tặng L370xW230xH80mm"
"000000000030000639","E","Hộp quà Tròn Đầy C L315xW270xH90mm"
"000000000030000640","E","Hộp tre L300xW200xH100mm"
"000000000030000641","E","Hộp tre L330xW300xH100mm"
"000000000030000642","E","Keo sữa"
"000000000030000643","E","Khay 10 trứng gà ác L225 x W95 x H55mm"
"000000000030000644","E","Khay Hộp quà Bừng Lộc D L345xW267xH40mm"
"000000000030000645","E","Khay Hộp quà Đủ Đầy B L275xW247xH40mm"
"000000000030000646","E","Khay Hộp quà Rộn Rã A L235xW190xH40mm"
"000000000030000647","E","Khay Hộp quà tặng 3 ngăn L350xW225xH60mm"
"000000000030000648","E","Khay Hộp quà tặng 3 ngăn. Ver 1-2020"
"000000000030000649","E","Khay Hộp quà Tròn Đầy C L310xW267xH40mm"
"000000000030000650","E","Khay phụ chai rượu Hộp quà TT premium"
"000000000030000651","E","(Do not use) Logo decal A HQ Tết 2022 -"
"000000000030000652","E","(Do not use) Logo decal B HQ Tết 2022 -"
"000000000030000653","E","(Do not use) Logo decal C HQ Tết 2022 -"
"000000000030000654","E","Màng POF gấp đôi khổ 450mm/dày 19 mic"
"000000000030000655","E","Necktag giấy khô heo 40mm"
"000000000030000656","E","Nhãn decal giấy BHX L105 x W56.5mm"
"000000000030000657","E","Nhãn decal giấy BHX L105xW56.5mm"
"000000000030000658","E","Nhãn decal giấy khô heo bơ tỏi 180g"
"000000000030000659","E","Nhãn decal giấy khô heo vị Tomyum 180gr"
"000000000030000660","E","(Do not use) Nhãn decal giấy XX phô mai"
"000000000030000661","E","Nhãn decal giấy XX xông khói classic"
"000000000030000662","E","Nhãn decal PE White giò lụa 500g 2019"
"000000000030000663","E","Nhãn decal PE White giò thủ 500g 2019"
"000000000030000664","E","Nhãn giấy trứng gà Coop size L P10"
"000000000030000665","E","Nhãn giấy trứng gà Coop size L P6"
"000000000030000666","E","Nhãn giấy trứng gà Coop size M P6"
"000000000030000667","E","Nhãn giấy trứng gà LDDM Coop size L P12"
"000000000030000668","E","Nhãn giấy trứng gà LDDM Coop size XL P10"
"000000000030000669","E","Nhãn giấy trứng gà MMC khay 10 size M"
"000000000030000670","E","Nhãn PE jambon 200g"
"000000000030000671","E","Nhãn PE thịt tươi Lotte L200 x W56.5mm"
"000000000030000672","E","Nhãn PE xúc xích xông khói 500g"
"000000000030000673","E","Nhãn thủy sản cá bạc má 400g L173xW100"
"000000000030000674","E","Nhãn thủy sản cá chim đen 400g Ver1DC"
"000000000030000675","E","Nhãn thủy sản cá nục thuôn 400g"
"000000000030000676","E","Nhãn thủy sản cá nục thuôn 400g Ver1DC"
"000000000030000677","E","Nhãn thủy sản cá nục thuôn L173 x W100mm"
"000000000030000678","E","Nhãn thủy sản chả cá thát lát"
"000000000030000679","E","Nhãn thủy sản đùi ếch L173 x W100mm"
"000000000030000680","E","Nơ quà 8/3 Hộp khô lớn màu xanh"
"000000000030000681","E","Nơ quà 8/3 Hộp khô nhỏ màu hồng"
"000000000030000682","E","Ruy băng quà 8/3 Hộp khô lớn màu xanh"
"000000000030000683","E","Ruy băng quà 8/3 Hộp khô nhỏ màu hồng"
"000000000030000684","E","Stick khuyến mãi L54 x W48mm"
"000000000030000685","E","Thiệp chúc mừng 8/3"
"000000000030000686","E","Thư ngõ CSR - hộp quà Tết 2022"
"000000000030000687","E","Thùng 1 Hộp mainstrem G"
"000000000030000688","E","Thùng 1 Hộp Wyn - L365 x W160 x H100mm"
"000000000030000689","E","Thùng 24 khay x 10 trứng gà ác Ver1DC"
"000000000030000690","E","Thùng 24 khay x 6 trứng gà ác"
"000000000030000691","E","Thùng Bừng Lộc D L570xW360xH285mm"
"000000000030000692","E","Thùng carton 10 trứng gà Coop Lx12 khay"
"000000000030000693","E","Thùng carton 10 trứng gà LDDM Coop XL"
"000000000030000694","E","Thùng carton 12 trứng gà LDDM Coop L"
"000000000030000695","E","Thùng carton 6 trứng gà Coop L x 24 khay"
"000000000030000696","E","Thùng carton 6 trứng gà Coop M x 24 khay"
"000000000030000697","E","Thùng carton cá que Ver1DC"
"000000000030000698","E","(Do not use) Thùng carton chả giò L405xW"
"000000000030000699","E","Thùng carton chả lụa bách hóa xanh"
"000000000030000700","E","Thùng carton Hộp quà 3 khô + 1 LX MQL"
"000000000030000701","E","Thùng carton Hộp quà 3 khô + 2 LX MQL"
"000000000030000702","E","Thùng carton hủ khô gà 2 vị 180g"
"000000000030000703","E","Thùng carton nugget cá lắc Ver1DCLG"
"000000000030000704","E","Thùng carton thịt heo sấy TCH 50goi,40gr"
"000000000030000705","E","(Do not use) Thùng carton trứng gà xá L3"
"000000000030000706","E","Thùng carton Túi khô heo"
"000000000030000707","E","Thùng chả giò gà quay xá xíu"
"000000000030000708","E","(Do not use) Thùng Đủ Đầy B L520xW295xH2"
"000000000030000709","E","(Do not use) Thùng giỏ quà tre L525xW370"
"000000000030000710","E","Thùng quà tặng 1 lạp xưởng 1 khô heo"
"000000000030000711","E","Thùng Tròn Đầy C L560xW330xH285mm"
"000000000030000712","E","(Do not use) Thùng Túi da cá 24 Túi x 50"
"000000000030000713","E","Thùng xốp Phương Nam. KT: 295x210x245mm"
"000000000030000714","E","(Do not use) Túi giấy Hộp quà đại lý 7 S"
"000000000030000715","E","Túi giấy Hộp quà internal đại lý 8 SP"
"000000000030000716","E","Túi giấy Hộp quà Signature"
"000000000030000717","E","Túi giấy kraft thịt heo sấy"
"000000000030000718","E","Túi HDPE màu sữa tự hủy in logo G 3 màu"
"000000000030000719","E","Túi MPH da heo phô mai 23g"
"000000000030000720","E","Túi MPH da heo phô mai 50g"
"000000000030000721","E","Túi MPH khô heo phô mai 45g"
"000000000030000722","E","Túi OPP lạp xưởng vị tiêu tt 500g. Ver 1"
"000000000030000723","E","Túi PA bắp giò xông khói 450g"
"000000000030000724","E","Túi PA chả giò thịt Wyn 400g Ver1"
"000000000030000725","E","Túi PA không in TCH L160 x W95mm"
"000000000030000726","E","Túi PA lạp xưởng chua 250g 190x180mm"
"000000000030000727","E","Túi PA lạp xưởng chua 500g 290x180mm"
"000000000030000728","E","Túi PA xúc xích Cocktail 200g"
"000000000030000729","E","Túi PA xúc xích phô mai Cheddar 200g"
"000000000030000730","E","Túi PA xúc xích tỏi 200g L255 x W200mm"
"000000000030000731","E","Túi PA xúc xích vườn bia 200g"
"000000000030000732","E","(Do not use) Túi PA xúc xích vườn bia 20"
