"MATERIAL","LANGU","TXTMD"
"000000000001101801","E","Gà cắt 9 miếng_Tươi_đóng khay"
"000000000001102002","E","Gà góc tư sau (có phao câu)_Tươi_đóng tú"
"000000000001102101","E","Gà góc tư sau_Tươi_đóng khay"
"000000000001102202","E","Gà góc tư sau_Tươi_đóng túi"
"000000000001102601","E","Gà nửa con_Tươi_đóng khay"
"000000000001102903","E","Gà góc tư sau_Tươi_đóng khay 500g"
"000000000001108102","E","Gà góc tư sau_Tươi_đóng túi_CFF"
"000000000001110102","E","Gà cắt 9 miếng tẩm ướp Mc Donald cay_Tươ"
"000000000001110202","E","Gà cắt 9 miếng tẩm ướp Mc Donald không c"
"000000000001110302","E","Gà cắt 9 miếng tẩm ướp Popeyes cay_Tươi_"
"000000000001110402","E","Gà cắt 9 miếng tẩm ướp Popeyes không cay"
"000000000001120102","E","Phế nhiều loại"
"000000000001120200","E","Lông gà"
"000000000001120300","E","Huyết gà"
"000000000001120400","E","Nội tạng gà"
"000000000001120500","E","Gà chết"
"000000000001208102","E","Gà góc tư sau không xương_Tươi_đóng túi"
"000000000020000000","E","(Do not use) Baking powder"
"000000000020000001","E","(Do not use) Bánh mì Sandswiches"
"000000000020000002","E","Bánh tráng phim"
"000000000020000003","E","Bánh tráng xốp"
"000000000020000004","E","Bao tử cá"
"000000000020000005","E","Bắp tách hạt"
"000000000020000006","E","Bộ gia vị Frankfuter"
"000000000020000007","E","(Do not use) Bơ lạt"
"000000000020000008","E","Bột áo JPB 104"
"000000000020000009","E","Bột bắp biến tính"
"000000000020000010","E","Bột battermix JPB - 5017A"
"000000000020000011","E","Bột cà ri"
"000000000020000012","E","Bột gia vị bắp 25g/gói"
"000000000020000013","E","Bột gia vị pho mai 25g/gói"
"000000000020000014","E","Bột gia vị phô mai Verozyme"
"000000000020000015","E","Bột gia vị phô mai wasabi"
"000000000020000016","E","Bột gia vị Tomyum"
"000000000020000017","E","Bột gừng"
"000000000020000018","E","Bột hành"
"000000000020000019","E","Bột hồi"
"000000000020000020","E","Bột lòng trắng trứng"
"000000000020000021","E","Bột mì biến tính"
"000000000020000022","E","Bột nghệ khô"
"000000000020000023","E","Bột ngò"
"000000000020000024","E","Bột ngọt"
"000000000020000025","E","Bột ngũ vị hương"
"000000000020000026","E","Bột ớt"
"000000000020000027","E","Bột thịt heo Plus"
"000000000020000028","E","(Do not use) Bột thịt SIF PG87"
"000000000020000029","E","Bột thịt SIF-PG86"
"000000000020000030","E","Bột tỏi"
"000000000020000031","E","Bột xù khô K052.C"
"000000000020000032","E","Bún tàu"
"000000000020000033","E","Cà rốt"
"000000000020000034","E","Cải bó xôi"
"000000000020000035","E","Carrageenan MP 1127"
"000000000020000036","E","CC400"
"000000000020000037","E","(Do not use) Chao"
"000000000020000038","E","Chất chống oxy hóa Coviot T90"
"000000000020000039","E","Chất tạo màu đỏ Monacus Mp-1259"
"000000000020000040","E","Cheese parmesan FLV SC247903"
"000000000020000041","E","Chilli extract 40.000 CU W/S"
"000000000020000042","E","Clip Al Suministros / H-2712BT"
"000000000020000043","E","Clip chì bằng nhôm dạng cuộn HC 25-2710T"
"000000000020000044","E","Clip chì HE-401DST"
"000000000020000045","E","Clip chì X-1321T"
"000000000020000046","E","(Do not use) Clip technik/ CT-822"
"000000000020000047","E","Collagen 21mm"
"000000000020000048","E","Collagen 24mm"
"000000000020000049","E","Collagen 26mm"
"000000000020000050","E","Collagen 28mm"
"000000000020000051","E","Collagen 30mm"
"000000000020000052","E","Collapro P-710"
"000000000020000053","E","Cốt Mai Quế Lộ"
"000000000020000054","E","Củ riềng"
"000000000020000055","E","Củ sắn"
"000000000020000056","E","Da Đầu heo ĐL nhập khẩu"
"000000000020000057","E","Da gà đông lạnh"
"000000000020000058","E","Da heo ĐL nhập khẩu"
"000000000020000059","E","Đá viên"
"000000000020000060","E","Đá viên bao xanh 20kg"
"000000000020000061","E","Đạm đậu nành context 31"
"000000000020000062","E","Đạm đậu nành S110"
"000000000020000063","E","Đạm đậu nành Soya TVP 4-7mm"
"000000000020000064","E","Dầu ăn"
"000000000020000065","E","Dầu hào"
"000000000020000066","E","Dây nhôm Aluminum wire D2.1mm"
"000000000020000067","E","Đường cát trắng"
"000000000020000068","E","Đường maltose"
"000000000020000069","E","Fiber 115"
"000000000020000070","E","Fibrous 60mm"
"000000000020000071","E","Fibrous 85mm"
"000000000020000072","E","Fillet cá basa ĐL"
"000000000020000073","E","Gà xay MDM ĐL"
"000000000020000074","E","Giấm ăn tinh luyện"
"000000000020000075","E","Gừng tươi"
"000000000020000076","E","Hành tây"
"000000000020000077","E","(Do not use) Hành tím củ chùm"
"000000000020000078","E","Hành tím lột vỏ"
"000000000020000079","E","Hạt dổi"
"000000000020000080","E","Hạt mắc khén"
"000000000020000081","E","(Do not use) Hạt sen"
