SOURCE,CodeChannel,Channel,CodeSalesGroup,SalesGroup
LBC ,91,Gia Cong,192,Gia Cong
LBC ,50,Horeca,155,Horeca LBC
LBC ,70,Internal,170,Internal cong ty
LBC ,70,Internal,171,Internal Daily
LBC ,40,Modern Trade,140,MT
LBC ,90,Others,190,Other
