subaccount,sub_act,bs_pl,allocate,mapping,bu
"D586B000D74","D586B000D74","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586B000D75","D586B000D75","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586B000D81","D586B000D81","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BA05D00","D586BA05D00","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BA06D00","D586BA06D00","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BA09D00","D586BA09D00","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BA11D00","D586BA11D00","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BH01D00","D586BH01D00","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BL01D00","D586BL01D00","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BM01D00","D586BM01D00","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BM05D00","D586BM05D00","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BM08D00","D586BM08D00","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BM16D00","D586BM16D00","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS00C01","D586BS00D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS00C03","D586BS00D73","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS00C04","D586BS00D74","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS00D71","D586BS00D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS00D73","D586BS00D73","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS00D74","D586BS00D74","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS00D75","D586BS00D75","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS00D81","D586BS00D81","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS04C01","D586BS04D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS04D71","D586BS04D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS06C01","D586BS06D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS06D71","D586BS06D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS06D75","D586BS06D75","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS21D75","D586BS21D75","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS23C01","D586BS23D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS23D71","D586BS23D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS23D75","D586BS23D75","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS24C01","D586BS24D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS24D71","D586BS24D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS27D75","D586BS27D75","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS57C01","D586BS57D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS57D71","D586BS57D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS57D75","D586BS57D75","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS83C03","D586BS83D73","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
