cost_element,cost_center,pnl_code
91511100,1014902870,5
91511100,1014901870,5
91511100,1010203803,5
91511100,1014911870,5
91511100,1024803870,5
91511100,1052203870,5
91511100,1014908870,5
91511100,1042401870,5
91511100,1042402870,5
91511100,1042403870,5
