account,cost_center,pnl_code
"91632200","1014911900","114"
"91511400","1014911900","113"
"91511400","1052200900","113"
"91632200","1052200900","114"
"91511400","1024800900","113"
"91632200","1024800900","114"
"91511400","1014901900","113"
"91632200","1014901900","114"
"91511400","1014902900","113"
"91632200","1014902900","114"
"91511100","1014902870","5"
"91511100","1014901870","5"
"91511100","1010203803","5"
"91511400","1014904900","113"
"91632200","1014904900","114"
"91511100","1014907801","68"
"91511100","1014907802","68"
"91511100","1014907803","68"
"91511100","1014907805","68"
"91511100","1014907806","68"
"91511100","1014907807","68"
"91511100","1014907808","68"
"91511100","1024807801","68"
"91511100","1024807802","68"
"91511100","1024807803","68"
"91511100","1024807804","68"
"91511100","1024807805","68"
"91511100","1024807806","68"
"91511100","1024807807","68"
"91511100","1033707801","68"
"91511100","1033707802","68"
"91511100","1033707803","68"
"91511100","1052207802","68"
"91511100","1052207806","68"
"91632100","1014907801","63"
"91632100","1014907802","63"
"91632100","1014907803","63"
"91632100","1014907805","63"
"91632100","1014907806","63"
"91632100","1014907807","63"
"91632100","1014907808","63"
"91632100","1024807801","63"
"91632100","1024807802","63"
"91632100","1024807803","63"
"91632100","1024807804","63"
"91632100","1024807805","63"
"91632100","1024807806","63"
"91632100","1024807807","63"
"91632100","1033707801","63"
"91632100","1033707802","63"
"91632100","1033707803","63"
"91632100","1052207802","63"
"91632100","1052207806","63"
"91511400","1014908870","6"
"91632200","1014908870","114"
"91511100","1042401801","68"
"91632100","1042401801","63"
"91511100","1042401803","68"
"91632100","1042401803","63"
"64211001","1908000919","32"
"64211004","1908000919","32"
"64212001","1908000919","32"
"64212002","1908000919","32"
"64212003","1908000919","32"
"64212004","1908000919","32"
"64213001","1908000919","32"
"64213002","1908000919","32"
"64213002","1908000919","32"
"64213003","1908000919","32"
"64221001","1908000919","32"
"64272002","1908000919","32"
"64291001","1908000919","32"
"64294004","1908000919","32"
"64113002","1015709870","74"
"64113002","1015709870","74"
"64131005","1015709870","74"
"64131005","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
"64136001","1015709870","74"
