cost_center,sales_group
"1014902809","110"
"1014902804","110"
"1014902806","110"
"1014902805","110"
"1014902807","110"
"1014902808","110"
"1014902803","111"
"1014902801","111"
"1014902802","111"
"1014902811","111"
"1014902810","111"
"1014902812","112"
"1014902813","112"
"1014902814","112"
"1024902807","110"
"1064902802","111"
"1064902803","111"
"1064902804","110"
"1064902805","110"
"1064902806","110"
"1064902801","111"
"1024902803","111"
"1064902807","110"
"1064902809","110"
