Ngành,BU,Description,Datetime,Budget
FeedOversea,MAM,Net sales,Feb-23,11541382.600854
FeedOversea,MAM,Net sales,Mar-23,12767269.075763
FeedOversea,MAM,Net sales,Apr-23,11088904.722906
FeedOversea,MAM,Net sales,May-23,12179626.375677
FeedOversea,MAM,Net sales,Jun-23,12850241.958801
FeedOversea,MAM,Net sales,Jul-23,12232355.950109
FeedOversea,MAM,Net sales,Aug-23,11330326.704058
FeedOversea,MAM,Net sales,Sep-23,12500672.974374
FeedOversea,MAM,Net sales,Oct-23,13136865.459658
FeedOversea,MAM,Net sales,Nov-23,13693678.363304
FeedOversea,MAM,Net sales,Dec-23,14195283.040251
FeedOversea,LAO,Net sales,Jan-23,24599684.763212
FeedOversea,LAO,Net sales,Feb-23,25670352.074606
FeedOversea,LAO,Net sales,Mar-23,27951218.555438
FeedOversea,LAO,Net sales,Apr-23,29747712.565280
FeedOversea,LAO,Net sales,May-23,32239327.252486
FeedOversea,LAO,Net sales,Jun-23,34742418.619743
FeedOversea,LAO,Net sales,Jul-23,36452967.458672
FeedOversea,LAO,Net sales,Aug-23,36362606.522808
FeedOversea,LAO,Net sales,Sep-23,37634250.413688
FeedOversea,LAO,Net sales,Oct-23,39482895.083553
FeedOversea,LAO,Net sales,Nov-23,41708418.050929
FeedOversea,LAO,Net sales,Dec-23,45052622.833545
